Function,testNum,clockTime,x_opt,f_opt,Distance,iterNum
f1,100,0.0005300045013427734,0.99839427366033162,2.5783570779536191e-06,2.5783570779536191e-06,4
f1,100,0.0009741783142089844,0.99935946197146652,4.1028896602401943e-07,4.1028896602401943e-07,12
f1,100,0.001065969467163086,0.99932245646501749,4.5906524182015573e-07,4.5906524182015573e-07,12
f1,100,0.0014109611511230469,1.002526850265768,6.3849722655717756e-06,6.3849722655717756e-06,14
f1,100,0.0008480548858642578,0.99921525335779759,6.1582729249387569e-07,6.1582729249387569e-07,10
f1,100,0.002095937728881836,1.0017029755848652,2.9001258425864762e-06,2.9001258425864762e-06,12
f1,100,0.001024007797241211,1.0006964966678633,4.8510760830566824e-07,4.8510760830566824e-07,12
f1,100,0.0006380081176757812,1.0012686382652207,1.6094430479451916e-06,1.6094430479451916e-06,14
f1,100,0.0006310939788818359,1.000962742063908,9.2687228159249457e-07,9.2687228159249457e-07,12
f1,100,0.0006918907165527344,1.0009414698131853,8.8636540906961159e-07,8.8636540906961159e-07,14
f1,100,0.0004470348358154297,0.99946243816233915,2.8897272930095141e-07,2.8897272930095141e-07,8
f1,100,0.00078582763671875,1.0005367958116609,2.8814974339930188e-07,2.8814974339930188e-07,14
f1,100,0.00046896934509277344,0.99826975561041631,2.9937456477169277e-06,2.9937456477169277e-06,8
f1,100,0.0006480216979980469,0.9999655722568388,1.1852695491754162e-09,1.1852695491754162e-09,14
f1,100,0.0006310939788818359,1.002733281499133,7.4708277535417977e-06,7.4708277535417977e-06,12
f1,100,0.0004749298095703125,1.0006927417190317,4.7989108931112412e-07,4.7989108931112412e-07,10
f1,100,0.0006380081176757812,0.99744943881729597,6.5053623466981847e-06,6.5053623466981847e-06,12
f1,100,0.0005528926849365234,0.99899925600326034,1.0014885469811219e-06,1.0014885469811219e-06,12
f1,100,0.0007810592651367188,1.0012857257040535,1.6530905859735157e-06,1.6530905859735157e-06,14
f1,100,0.0007359981536865234,0.99822428267550212,3.1531720164901245e-06,3.1531720164901245e-06,14
f1,100,0.0005631446838378906,1.0009820000786629,9.6432415452873954e-07,9.6432415452873954e-07,10
f1,100,0.0004010200500488281,0.99976989195378452,5.294971294755868e-08,5.294971294755868e-08,8
f1,100,0.0007319450378417969,1.0016924913814704,2.8645270764293684e-06,2.8645270764293684e-06,12
f1,100,0.0004520416259765625,0.99822474214002832,3.1515404693704951e-06,3.1515404693704951e-06,8
f1,100,0.0006320476531982422,1.0010238759825409,1.0483220276302774e-06,1.0483220276302774e-06,12
f1,100,0.0008280277252197266,1.0004263933506938,1.8181128957905912e-07,1.8181128957905912e-07,12
f1,100,0.0006368160247802734,0.99755767656417227,5.9649437651465576e-06,5.9649437651465576e-06,12
f1,100,0.0006818771362304688,0.99869332843427849,1.7073905806963552e-06,1.7073905806963552e-06,14
f1,100,0.0007250308990478516,1.000866230871591,7.5035592295158438e-07,7.5035592295158438e-07,14
f1,100,0.0005619525909423828,0.99658685306455719,1.1649572002947473e-05,1.1649572002947473e-05,12
f1,100,0.0006339550018310547,0.99724374510726421,7.5969410336940157e-06,7.5969410336940157e-06,12
f1,100,0.0007050037384033203,0.99922995642263113,5.9296711107936773e-07,5.9296711107936773e-07,12
f1,100,0.0006248950958251953,1.0008905211397341,7.9302790023660918e-07,7.9302790023660918e-07,12
f1,100,0.0010409355163574219,0.99822688592467501,3.1439335240746047e-06,3.1439335240746047e-06,10
f1,100,0.0006251335144042969,0.99765242658943509,5.5111009179542592e-06,5.5111009179542592e-06,10
f1,100,0.0006248950958251953,1.0010009949325804,1.0019908549541157e-06,1.0019908549541157e-06,14
f1,100,0.0013549327850341797,1.0012013130523505,1.4431530497294176e-06,1.4431530497294176e-06,14
f1,100,0.001219034194946289,0.99953425980994792,2.1691392459999292e-07,2.1691392459999292e-07,12
f1,100,0.0006630420684814453,0.99744046345858095,6.5512273068613069e-06,6.5512273068613069e-06,12
f1,100,0.0004050731658935547,1.0002322085094182,5.3920791831529868e-08,5.3920791831529868e-08,8
f1,100,0.0011951923370361328,0.99835559861361123,2.7040559195112834e-06,2.7040559195112834e-06,12
f1,100,0.0006771087646484375,0.99797597888641532,4.0966614682780289e-06,4.0966614682780289e-06,14
f1,100,0.0006349086761474609,1.0024879811993412,6.1900504482181873e-06,6.1900504482181873e-06,12
f1,100,0.0006101131439208984,1.0014920234188418,2.2261338823437171e-06,2.2261338823437171e-06,12
f1,100,0.000579833984375,1.0024164255262913,5.8391123241019471e-06,5.8391123241019471e-06,10
f1,100,0.0006279945373535156,0.99972987822777304,7.2965771868993556e-08,7.2965771868993556e-08,14
f1,100,0.0007140636444091797,0.99905752804855297,8.8825337929421266e-07,8.8825337929421266e-07,14
f1,100,0.000701904296875,1.0009434558452215,8.9010893189467311e-07,8.9010893189467311e-07,16
f1,100,0.0006260871887207031,0.99909637963343734,8.1652976691160006e-07,8.1652976691160006e-07,12
f1,100,0.0006320476531982422,1.0001367641144339,1.8704422899418205e-08,1.8704422899418205e-08,14
f1,100,0.000621795654296875,0.99955012304819579,2.0238927178617416e-07,2.0238927178617416e-07,12
f1,100,0.0013110637664794922,0.99797026711979941,4.1198155649180279e-06,4.1198155649180279e-06,14
f1,100,0.0012569427490234375,1.00041316105695,1.7070205893254808e-07,1.7070205893254808e-07,14
f1,100,0.001024007797241211,0.99940414251264986,3.5504614526171707e-07,3.5504614526171707e-07,12
f1,100,0.0014410018920898438,1.0012879998460917,1.6589436035996385e-06,1.6589436035996385e-06,12
f1,100,0.0022749900817871094,1.0002897590296704,8.3960295382823347e-08,8.3960295382823347e-08,14
f1,100,0.0006821155548095703,1.0005662410181826,3.2062889077089096e-07,3.2062889077089096e-07,12
f1,100,0.0007469654083251953,0.99622448465947033,1.4254516086609215e-05,1.4254516086609215e-05,12
f1,100,0.0006270408630371094,0.99927377891558034,5.2739706346560666e-07,5.2739706346560666e-07,12
f1,100,0.0004849433898925781,0.99985312743314303,2.1571550878896062e-08,2.1571550878896062e-08,10
f1,100,0.0006330013275146484,0.99914018905462698,7.3927486177183255e-07,7.3927486177183255e-07,12
f1,100,0.0005540847778320312,1.0015170782444978,2.3015263999059954e-06,2.3015263999059954e-06,12
f1,100,0.00037097930908203125,0.99946115965644766,2.9034891579904354e-07,2.9034891579904354e-07,6
f1,100,0.0005300045013427734,0.99835516616094988,2.705478358122626e-06,2.705478358122626e-06,10
f1,100,0.0007021427154541016,0.99946767463626163,2.8337029289726701e-07,2.8337029289726701e-07,14
f1,100,0.0007760524749755859,1.0026066444909219,6.7945955020132232e-06,6.7945955020132232e-06,12
f1,100,0.0008130073547363281,0.99918808904352086,6.5919940128722487e-07,6.5919940128722487e-07,14
f1,100,0.0008339881896972656,0.99922079615298709,6.0715863514637647e-07,6.0715863514637647e-07,12
f1,100,0.001074075698852539,0.99728114231931353,7.3921870877846629e-06,7.3921870877846629e-06,12
f1,100,0.0005271434783935547,0.99724114814205156,7.6112635740699375e-06,7.6112635740699375e-06,10
f1,100,0.0008060932159423828,1.00098127620674,9.6290299400614288e-07,9.6290299400614288e-07,14
f1,100,0.0007779598236083984,1.0006530711306376,4.2650190157367263e-07,4.2650190157367263e-07,12
f1,100,0.0006639957427978516,0.99818634899395309,3.2893299717340341e-06,3.2893299717340341e-06,12
f1,100,0.0007870197296142578,0.99709054295575006,8.4649402923853145e-06,8.4649402923853145e-06,12
